ESTADO,ANO_IS,MES_IS,Obitos_Total,Obitos_M,Obitos_F,Casos_Total,Casos_M,Casos_F,Mortalidade,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, VELOCIDADE HORARIA (m/s)"
RJ,2018,8,0,0,0,0,0,0,0.0,0.1106437647064314,982.2191800648396,1022.6207173841284,18.93669023085513,15.013985105516728,79.758989485448,1.960642603820664
RJ,2018,9,0,0,0,0,0,0,0.0,0.1110921863780408,977.2695856742416,1268.747578898837,20.90232571918215,16.244539874284946,76.50867758120525,2.184774433898378
RJ,2018,10,0,0,0,0,0,0,0.0,0.1673639808868415,976.6452391298848,1026.4457399718972,21.777341239658444,18.16222176607064,80.96549629544474,2.1917776137266265
RJ,2018,11,0,0,0,0,0,0,0.0,0.3031471451358995,984.8600712603004,1229.423201613203,22.883358092587905,18.86432379651892,79.92094912675363,2.222111414809052
RJ,2018,12,0,0,0,0,0,0,0.0,0.163266232250884,984.1878993663272,1527.0191962472477,24.35983471556537,19.614802461264272,77.30585927527589,1.8973328413330708
SP,2017,1,1,1,0,3,3,0,33.33333333333333,0.384013138134377,946.62503474966,1280.0909853382127,23.873882205430817,19.75745555081604,79.71080544268109,1.4859641798054586
SP,2017,2,0,0,0,0,0,0,0.0,0.1337638621752484,947.6935908456278,1698.0798879122565,25.14451914217376,19.068509073175715,71.86683346551688,1.5877553522511472
SP,2017,3,4,4,0,11,10,1,36.36363636363637,0.2229972068275218,948.12034875799,1455.0086229645638,23.603303296530832,18.3871031101502,74.99740666530178,1.7193117930292654
SP,2017,4,2,2,0,5,5,0,40.0,0.1725321343172559,949.9871307480282,1239.2879160499506,21.672486189012755,16.96257225051982,76.82532093032242,1.7586771367217446
SP,2017,5,1,1,0,1,1,0,100.0,0.1841491179025574,950.4114954097752,1059.6612619229006,20.221824964408547,16.057960026414218,78.94209772174001,1.4267912211242848
SP,2017,6,0,0,0,0,0,0,0.0,0.0878767657516724,952.4362385163622,1066.9415908989226,18.25529486102748,12.966560715671328,74.22234546029244,1.5271088351232838
SP,2017,7,0,0,0,0,0,0,0.0,0.0049068919565023,956.654415905667,1227.4557744542308,17.420002125159552,9.835536499704526,65.10303154010005,1.8928612415781847
SP,2017,8,0,0,0,0,0,0,0.0,0.0817214081308217,951.1991477687928,1193.1790299094405,19.43492482357094,11.510426399915485,65.92168139624819,1.969406575907972
SP,2017,9,0,0,0,1,1,0,0.0,0.0353808872417299,951.2771015965158,1648.7394707554608,23.11834601104015,10.586620929584152,52.02115701437491,2.002651798537169
SP,2017,10,1,1,0,1,1,0,100.0,0.1930431705063071,948.2546012315964,1340.09445913954,23.136448581061664,15.6530506596699,67.67187967214467,2.050239506743014
SP,2017,11,0,0,0,2,1,1,0.0,0.2763506082923566,948.289829327314,1458.5117786830351,22.52207496675444,16.685759219460788,72.87200452130979,2.002325926805508
SP,2017,12,27,24,3,52,42,10,51.92307692307693,0.2896837690397651,947.2252646146228,1384.6839239588228,23.832784027287275,18.829188529279072,75.99524624061223,1.6755659950490074
SP,2018,1,74,67,7,247,192,55,29.959514170040485,0.3450247017875757,947.5113521052052,1349.5693242050204,23.6935683827013,19.335654400766376,78.67259445831431,1.6011033395581509
SP,2018,2,38,33,5,106,91,15,35.84905660377358,0.2212053381253626,947.3345717246218,1456.8504979232553,23.250339496098327,18.3582091634414,76.27555798738628,1.650980701105715
SP,2018,3,47,42,5,107,90,17,43.925233644859816,0.2221725955149051,947.5572843532526,1444.1914028789968,24.66660701510912,19.92821562675857,77.11765919441238,1.374713265131991
SP,2018,4,12,10,2,24,19,5,50.0,0.0567518297096934,951.6592378394076,1395.5149613681035,22.24247059834583,16.376962656712724,72.3396675469383,1.4826291190041123
SP,2018,5,4,4,0,6,6,0,66.66666666666666,0.0358311696390171,952.590378666862,1207.6378640554385,19.87098620708825,13.46323787923449,70.1098309297517,1.4988061002947723
SP,2018,6,0,0,0,0,0,0,0.0,0.0331869737316234,953.348505031636,960.263037523482,19.41208990756862,13.320354596051642,71.62408739827055,1.442368285564985
SP,2018,7,0,0,0,0,0,0,0.0,0.0173087957634087,953.7984765254262,1207.1587025458068,19.3091319138414,10.490895556076246,62.05759440937358,1.482339585362337
SP,2018,8,0,0,0,0,0,0,0.0,0.0909565024235575,953.8287396661566,1173.1272178815846,18.391685163690607,11.964863288231962,70.8282714884651,1.895859920270716
SP,2018,9,0,0,0,0,0,0,0.0,0.1207485860790502,949.8240237825014,1317.616060059701,21.074709534381302,13.940856309943095,69.02020622023292,2.013085531285452
SP,2018,10,1,1,0,1,1,0,100.0,0.2293168893321266,948.4422337942816,1238.1153491495002,22.44005777563503,17.563357250840426,76.44505954376355,2.0697095805767765
SP,2018,11,0,0,0,0,0,0,0.0,0.2581368279486286,946.8894746066414,1277.8558277410166,22.70874273055134,17.875148207210604,76.26521635327059,2.293127236139881
SP,2018,12,3,3,0,5,4,1,60.0,0.1790781247192139,947.8736329599412,1600.6878568567183,24.506610169951827,18.23969883158817,71.21817796463881,1.7384125598795146
